Name,Shadow,Mega,Primal,Regional
pidgeot,False,True,False,
venusaur,False,True,False,
latias,False,True,False,
banette,False,True,False,
houndoom,False,True,False,
heracross,False,True,False,
ampharos,False,True,False,
alakazam,False,True,False,
blastoise,False,True,False,
gengar,True,False,False,
gardevoir,True,False,False,
tangrowth,True,False,False,
hariyama,True,False,False,
staraptor,True,False,False,
honchkrow,True,False,False,
latios,True,False,False,
blaziken,True,False,False,
sceptile,True,False,False,
aerodactyl,True,False,False,
entei,True,False,False,
zapdos,True,False,False,
metagross,False,False,False,
weavile,True,False,False,
salamence,False,False,False,
kyogre,False,False,False,
enamorus,False,False,False,
groudon,False,False,False,
rampardos,False,False,False,
garchomp,False,False,False,
mamoswine,False,False,False,
heatran,False,False,False,
darkrai,False,False,False,
conkeldurr,False,False,False,
giratina,False,False,False,
chandelure,False,False,False,
hydreigon,False,False,False,
volcarona,False,False,False,
thundurus,False,False,False,
landorus,False,False,False,
keldeo,False,False,False,
hoopa,False,False,False,
yveltal,False,False,False,
magnezone,True,False,False,
tyranitar,False,False,False,
mewtwo,False,False,False,
