Name,Shadow,Mega,Primal,Regional
diancie,False,True,False,
gardevoir,False,True,False,
abomasnow,False,True,False,
charizard y,False,True,False,
aerodactyl,False,True,False,
manectric,False,True,False,
latios,False,True,False,
salamence,False,True,False,
glalie,False,True,False,
garchomp,False,True,False,
swampert,False,True,False,
groudon,True,False,False,
kyogre,True,False,False,
excadrill,True,False,False,
dialga,False,False,False,
ho-oh,True,False,False,
xurkitree,False,False,False,
rayquaza,False,False,False,
machamp,True,False,False,
electivire,True,False,False,
raikou,True,False,False,
swampert,True,False,False,
moltres,True,False,False,
reshiram,False,False,False,
zekrom,False,False,False,
rhyperior,False,False,False,
lucario,False,False,False,
darmanitan,True,False,False,
