Name,Shadow,Mega,Primal,Regional
groudon,False,False,True,
rayquaza,False,True,False,
kyogre,False,False,True,
tyranitar,False,True,False,
sceptile,False,True,False,
blaziken,False,True,False,
gengar,False,True,False,
tyranitar,True,False,False,
metagross,True,False,False,
mewtwo,True,False,False,
salamence,True,False,False,
dragonite,True,False,False,
garchomp,True,False,False,
palkia,False,False,False,
kartana,False,False,False,
mamoswine,True,False,False,
terrakion,False,False,False,
chandelure,True,False,False,
rhyperior,True,False,False,
rampardos,True,False,False,
diancie,False,True,False,
gardevoir,False,True,False,
abomasnow,False,True,False,
charizard y,False,True,False,
aerodactyl,False,True,False,
manectric,False,True,False,
latios,False,True,False,
salamence,False,True,False,
glalie,False,True,False,
garchomp,False,True,False,
swampert,False,True,False,
groudon,True,False,False,
kyogre,True,False,False,
excadrill,True,False,False,
dialga,False,False,False,
ho-oh,True,False,False,
xurkitree,False,False,False,
rayquaza,False,False,False,
machamp,True,False,False,
electivire,True,False,False,
raikou,True,False,False,
swampert,True,False,False,
moltres,True,False,False,
reshiram,False,False,False,
zekrom,False,False,False,
rhyperior,False,False,False,
lucario,False,False,False,
darmanitan,True,False,False,
pidgeot,False,True,False,
venusaur,False,True,False,
latias,False,True,False,
banette,False,True,False,
houndoom,False,True,False,
heracross,False,True,False,
ampharos,False,True,False,
alakazam,False,True,False,
blastoise,False,True,False,
gengar,True,False,False,
gardevoir,True,False,False,
tangrowth,True,False,False,
hariyama,True,False,False,
staraptor,True,False,False,
honchkrow,True,False,False,
latios,True,False,False,
blaziken,True,False,False,
sceptile,True,False,False,
aerodactyl,True,False,False,
entei,True,False,False,
zapdos,True,False,False,
metagross,False,False,False,
weavile,True,False,False,
salamence,False,False,False,
kyogre,False,False,False,
enamorus,False,False,False,
groudon,False,False,False,
rampardos,False,False,False,
garchomp,False,False,False,
mamoswine,False,False,False,
heatran,False,False,False,
darkrai,False,False,False,
conkeldurr,False,False,False,
giratina,False,False,False,
chandelure,False,False,False,
hydreigon,False,False,False,
volcarona,False,False,False,
thundurus,False,False,False,
landorus,False,False,False,
keldeo,False,False,False,
hoopa,False,False,False,
yveltal,False,False,False,
magnezone,True,False,False,
tyranitar,False,False,False,
mewtwo,False,False,False,
charizard x,False,True,False,
pinsir,False,True,False,
lopunny,False,True,False,
beedrill,False,True,False,
absol,False,True,False,
scizor,False,True,False,
gyarados,False,True,False,
torterra,True,False,False,
gyarados,True,False,False,
victreebel,True,False,False,
blastoise,True,False,False,
exeggutor,True,False,False,
articuno,True,False,False,
toxicroak,True,False,False,
charizard,True,False,False,
pinsir,True,False,False,
granbull,True,False,False,
manectric,True,False,False,
lugia,True,False,False,
typhlosion,True,False,False,
feraligatr,True,False,False,
luxray,True,False,False,
exeggutor,True,False,False,alola
golem,True,False,False,
golem,True,False,False,alola
infernape,True,False,False,
empoleon,True,False,False,
alakazam,True,False,False,
venusaur,True,False,False,
kyurem,False,False,False,
vikavolt,False,False,False,
breloom,False,False,False,
gardevoir,False,False,False,
zarude,False,False,False,
swampert,False,False,False,
pheromosa,False,False,False,
nihilego,False,False,False,
ho-oh,False,False,False,
dialga,False,False,False,
raikou,False,False,False,
baxcalibur,False,False,False,
golurk,True,False,False,
unfezant,True,False,False,
dragonite,False,False,False,
moltres,False,False,False,
kingler,False,False,False,
latios,False,False,False,
palkia,False,False,False,
darmanitan,False,False,False,galar
glaceon,False,False,False,
landorus,False,False,False,
zoroark,False,False,False,
gengar,False,False,False,
darmanitan,False,False,False,
gigalith,False,False,False,
shaymin,False,False,False,
azelf,False,False,False,
electivire,False,False,False,
staraptor,False,False,False,
chesnaught,False,False,False,
tyrantrum,False,False,False,
xerneas,False,False,False,
magnezone,False,False,False,
weavile,False,False,False,
honchkrow,False,False,False,
