Name,Shadow,Mega,Primal,Regional
aggron,False,True,False,
scizor,True,False,False,
shiftry,True,False,False,
abomasnow,True,False,False,
mismagius,True,False,False,
banette,True,False,False,
skuntank,True,False,False,
cacturne,True,False,False,
sharpedo,True,False,False,
ampharos,True,False,False,
magmortar,True,False,False,
hippowdon,True,False,False,
latias,True,False,False,
arcanine,True,False,False,
vileplume,True,False,False,
flygon,True,False,False,
houndoom,True,False,False,
porygon-z,True,False,False,
regigigas,True,False,False,
venusaur,False,False,False,
clawitzer,False,False,False,
aggron,True,False,False,
articuno,False,False,False,galar
zapdos,False,False,False,galar
zacian,False,False,False,
ninetales,True,False,False,alola
genesect,False,False,False,
genesect,False,False,False,
genesect,False,False,False,
sylveon,False,False,False,
genesect,False,False,False,
aerodactyl,False,False,False,
crawdaunt,False,False,False,
zapdos,False,False,False,
feraligatr,False,False,False,
granbull,False,False,False,
scizor,False,False,False,
celebi,False,False,False,
tapu koko,False,False,False,
tapu lele,False,False,False,
tapu bulu,False,False,False,
sceptile,False,False,False,
blaziken,False,False,False,
hariyama,False,False,False,
manectric,False,False,False,
torterra,False,False,False,
thundurus,False,False,False,
luxray,False,False,False,
tangrowth,False,False,False,
togekiss,False,False,False,
yanmega,False,False,False,
golem,False,False,False,alola
emboar,False,False,False,
samurott,False,False,False,
unfezant,False,False,False,
krookodile,False,False,False,
escavalier,False,False,False,
haxorus,False,False,False,
braviary,False,False,False,
tornadus,False,False,False,
genesect,False,False,False,
