Name,Shadow,Mega,Primal,Regional
altaria,False,True,False,
steelix,False,True,False,
scyther,True,False,False,
gallade,True,False,False,
muk,True,False,False,
cloyster,True,False,False,
walrein,True,False,False,
kingdra,True,False,False,
muk,True,False,False,alola
cobalion,False,False,False,
bisharp,False,False,False,
accelgor,False,False,False,
virizion,False,False,False,
tornadus,False,False,False,
meloetta,False,False,False,
eelektross,False,False,False,
charizard,False,False,False,
greninja,False,False,False,
sirfetch'd,False,False,False,
delphox,False,False,False,
zebstrika,False,False,False,
hoopa,False,False,False,
braviary,False,False,False,hisui
overqwil,False,False,False,
zebstrika,True,False,False,
drifblim,True,False,False,
archeops,False,False,False,
simisage,False,False,False,
alakazam,False,False,False,
incineroar,False,False,False,
victreebel,False,False,False,
golem,False,False,False,
exeggutor,False,False,False,
jynx,False,False,False,
pinsir,False,False,False,
gyarados,False,False,False,
jolteon,False,False,False,
typhlosion,False,False,False,
espeon,False,False,False,
entei,False,False,False,
lugia,False,False,False,
toucannon,False,False,False,
victini,False,False,False,
lycanroc,False,False,False,
lunala,False,False,False,
cacturne,False,False,False,
banette,False,False,False,
jirachi,False,False,False,
giratina,False,False,False,
infernape,False,False,False,
empoleon,False,False,False,
gallade,False,False,False,
exeggutor,False,False,False,alola
raichu,False,False,False,alola
deoxys,False,False,False,
pidgeot,True,False,False,
