Name,Shadow,Mega,Primal,Regional
groudon,False,False,True,
rayquaza,False,True,False,
kyogre,False,False,True,
tyranitar,False,True,False,
sceptile,False,True,False,
blaziken,False,True,False,
gengar,False,True,False,
tyranitar,True,False,False,
metagross,True,False,False,
mewtwo,True,False,False,
salamence,True,False,False,
dragonite,True,False,False,
garchomp,True,False,False,
palkia,False,False,False,
kartana,False,False,False,
mamoswine,True,False,False,
terrakion,False,False,False,
chandelure,True,False,False,
rhyperior,True,False,False,
rampardos,True,False,False,
